Favorit,Nama,Referensi Internal,Harga Jual,Modal,Kuantitas Di Tangan,Forecasted Quantity,Unit Pembelian,Dekorasi Pengecualian Aktivitas,Dibuat oleh,ID Eksternal
False,AIR GALON,,1,0,-2.91,-2.91,GALON,,KEUANGAN,__export__.product_template_628_cf65244c
False,AIR MINERAL BOTOL,MI.01,5000,0,-5,-5,BTL,,KEUANGAN,__export__.product_template_512_a4b4fb7b
False,ALAS NASI BUNDAR,,1,0,1,1,IKAT @5BKS,,KEUANGAN,__export__.product_template_456_f559769d
False,ALAT REFILL GAS PORTABLE,,1,0,0,0,PCS,,KEUANGAN,__export__.product_template_477_f4023841
False,APRON KAIN GY,,1,0,0,0,LEMBAR,,KEUANGAN,__export__.product_template_486_61f4f941
False,APRON KARET,,1,0,0,0,LEMBAR,,KEUANGAN,__export__.product_template_487_42f69523
False,AYAM CRISPY DADA/PAHA ATAS,,1,0,0,0,PORSI,,KEUANGAN,__export__.product_template_571_693e90c6
False,AYAM CRISPY PAHA BAWAH,,1,0,0,0,PORSI,,KEUANGAN,__export__.product_template_572_71f45120
False,AYAM CRISPY SAYAP,,1,0,0,0,PORSI,,KEUANGAN,__export__.product_template_573_bfb66255
False,AYAM CUT 2,,1,0,0,0,BKS @1PTG,,KEUANGAN,__export__.product_template_428_184af982
False,AYAM CUT 9,,1,0,0,0,BKS @9PTG,,KEUANGAN,__export__.product_template_427_3c2e8511
False,AYAM SEGEPOK SINGLE,,1,0,-1552,-1552,PORSI,,KEUANGAN,__export__.product_template_631_fe3755a8
False,BAJU SERAGAM GY,,1,0,0,0,LEMBAR,,KEUANGAN,__export__.product_template_485_328a1112
False,BERAS,,1,0,-0.15,-0.15,ZAK @25KG,,KEUANGAN,__export__.product_template_422_5ae6b416
False,BIG COLA,,1,0,0,0,"BTL @3,1LTR",,KEUANGAN,__export__.product_template_448_ef886fd3
False,BIHUN JAGUNG,,1,0,0,0,BKS @300GRM,,KEUANGAN,__export__.product_template_447_d5fb62a4
False,BLACKCURRANT,,1,0,0,0,GELAS,,KEUANGAN,__export__.product_template_622_5e9bb23c
False,BUBUK BBQ,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_430_f92150da
False,BUBUK BLACKCURRENT,,1,0,0,0,BKS @750GRM,,KEUANGAN,__export__.product_template_450_f3202a3e
False,BUBUK KEJU,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_431_dde4e373
False,BUBUK LEMON TEA,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_452_15598d2a
False,BUBUK MILO,,1,0,0,0,BKS @950GRM,,KEUANGAN,__export__.product_template_451_d084015d
False,BUBUK ORANGES,,1,0,0,0,DUS @12BKS-560GRM,,KEUANGAN,__export__.product_template_449_e28a8c3b
False,BUMBU C,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_636_248d9bfa
False,BUMBU MARINASI,,1,0,0,0,BKS @1KG,,KEUANGAN,__export__.product_template_423_9d890e74
False,CAIRAN CUCI PIRING,,1,0,0,0,JRG @5LTR,,KEUANGAN,__export__.product_template_505_477ad72e
False,CAIRAN CUCI TANGAN,,1,0,0,0,BKS @300MIL,,KEUANGAN,__export__.product_template_506_e6ff4e0c
False,CAIRAN PEMBERSIH KACA,,1,0,0,0,BKS @425MIL,,KEUANGAN,__export__.product_template_507_6f85d818
False,CAIRAN PEMBERSIH KERAK/TOILET,,1,0,0,0,BTL @1LTR,,KEUANGAN,__export__.product_template_509_43d55019
False,CAIRAN PEMBERSIH LANTAI,,1,0,0,0,BKS @770MIL,,KEUANGAN,__export__.product_template_508_9707126c
